Class,Description,Menu,arduino,esp32_freertos,esp32s3_freertos,linux_amd64,linux_android_arm64,linux_android_arm,linux_arm64,linux_arm,linux_armv7l,linux_x86,linux_x86_64,nxp_arm,win_x86,xcore_freertos,zephyr_arm
modbus_read,MODBUS-RT value input/read,Peripherals / MODBUS,—,—,✓,—,—,—,—,—,—,—,✓,—,✓,—,—
modbus_slave_register,Slave register for the MODBUS protocol.,Peripherals / MODBUS,—,—,✓,—,—,—,—,—,—,—,✓,—,✓,—,—
modbus_write,MODBUS-RT value output/write,Peripherals / MODBUS,—,—,✓,—,—,—,—,—,—,—,✓,—,✓,—,—
pwm,pwm,Deprecated / Peripherals,✓,—,✓,—,—,—,✓,—,—,—,—,—,—,—,—
pwm_gen,Pulse Width Modulation Generator,Peripherals / GPIO,✓,—,✓,—,—,—,✓,—,—,—,—,—,—,—,—
rs485_config,RS-485 Config,Peripherals / Serial,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
sd_select,SD Card Select,Peripherals / Storage,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
UART,UART transceive messages,Peripherals / Serial,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
uart_config,uart_config,Peripherals / Serial,—,—,✓,—,—,—,—,—,—,—,—,—,—,—,—
ups,UPS,Peripherals / UPS,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
usb_power,USB Power,Peripherals / USB,—,—,—,—,—,—,✓,—,—,—,—,—,—,—,—
watchdog,Watchdog,Peripherals / Watchdog,—,—,✓,—,—,—,✓,—,—,—,—,—,—,—,—
Int2Hex,"Convert an integer to the string that contains hex data, e.g. 10 to ""0A"".",Data Utilities / Conversion,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
JSONObject,JSON Object,Data Utilities / JSON,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
PID,PID controller,Control Systems / PID Controller,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
application_info_getter,Gets information about locally installed apps.,System / Local,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
application_run,Runs an app,System / Local,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
audio_input_level,Get the RMS value of the audio input.,AV / Sound,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
bin2dec,Convert an 8-bit bool binary to an integer.,Data Utilities / Conversion,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Calibrate,Calibrate,Control Systems / Calibrate,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
console_print,Prints string to the operating systems console (if available),User Interface / Console Print,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
DevmanInterface,Interface to Devman functionality,System / Remote,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Backlight,Display backlight intensity,User Interface / Backlight Intensity,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
ehs_controller,System operations to control EHS,System / Local,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
HexString2String,This will convert the string that contains the hex to the string that contains the actual characters.,Data Utilities / String Functions,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
permanent_storage,permanent_storage_bool,File System / NV Storage,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
key_value,Key Value Pair Storage,Data Utilities / Key Value Pair,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
lorawan,LoRaWAN module,Networking / LoraWAN,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Map,,Data Utilities / Num,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
NumDemultiplex,,Data Utilities / Num,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
NumMultiplex,,Data Utilities / Num,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
ndc,numeric_display_char,Peripherals / Displays,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
OTA,Over-the-air update,System / OTA Tools,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
ota_data_parser,,System / OTA Tools,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
pid_hdwr_config,PID Hardware Config int,Control Systems / Hardware Config (int),—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
pid_relay_config,Relay Config,Control Systems / Relay Config,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Reboot,Reboot the device,System / Host OS,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rtc,rtc,Peripherals / RTC,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
sample2str,,Data Utilities / Num,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
DevmanScheduler,This function will retrieve data from the schedule information stored on a device.,Control Systems / Devman Scheduler,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
StringDivader,String Divider,Data Utilities / String Functions,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
unity,unity,System / Unity 3D,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Unsigned2Int,Convert signed integer with any length to a supported signed integer.,Data Utilities / Conversion,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
